,model,no_offload_kqv,flash_attn,n_gpu_layers,promptlen,prompt_tokens,prompt_seconds,prompttps,completion_tokens,gen_seconds,gentps,overhead_seconds
18,IQ2_XXS,False,False,33,2048,2129,0.5215744515880942,4068.4508099254417,257,3.744126558303833,68.37375714029638,0.22874756064265966
19,IQ2_XXS,False,False,33,3072,3192,0.7477437015622854,4279.54122958727,257,3.860077381134033,66.31991401291313,0.24245247803628445
20,IQ2_XXS,False,False,33,5120,5323,1.3645559027791023,3900.902842572438,257,4.058576583862305,63.07630143481982,0.2451229766011238
21,IQ2_XXS,False,False,33,8192,8533,2.536019570194185,3371.425086970177,257,4.451916933059692,57.503319098107596,0.2610704964026809
22,IQ2_XXS,False,False,33,11264,11764,4.099962294101715,2869.294680325211,257,4.7838592529296875,53.513280066344514,0.2721427083015442
23,IQ2_XXS,False,False,33,15360,15998,6.699227536097169,2388.0365182102923,257,5.2866668701171875,48.42370557657728,0.2937204483896494
24,IQ2_XXS,False,True,28,128,133,0.1596354702487588,833.1481705960904,257,10.44958209991455,24.498587364761065,0.2110282639041543
25,IQ2_XXS,False,True,28,1024,1075,0.4111071275547147,2614.890202449548,257,11.495358943939209,22.26985701346655,0.2151244329288602
26,IQ2_XXS,False,True,28,2048,2149,0.6353592583909631,3382.338372533214,257,12.532496690750122,20.42689547956923,0.22724673245102167
27,IQ2_XXS,False,True,28,3072,3185,0.918731177225709,3466.737691016146,257,13.557260036468506,18.882871561906306,0.22558399476110935
28,IQ2_XXS,False,True,28,5120,5356,1.716639586724341,3099.660546774079,257,16.520248651504517,15.496134797988395,0.2528801644220948
29,IQ2_XXS,False,True,28,8192,8547,2.8901504138484597,2957.285530554448,257,21.44760751724243,11.936063255269532,0.295478449203074
30,IQ2_XXS,False,True,28,11264,11724,3.6943232510238886,3173.5176386502376,257,25.72846746444702,9.950067968632588,0.27276439405977726
31,IQ2_XXS,False,True,28,15360,15360,5.547219369146559,2768.95485428822,251,30.094232320785522,8.307239650945663,0.32252821657392716
32,IQ2_XXS,False,True,32,128,136,0.14065153803676367,966.9286372428587,257,6.231365442276001,41.082488640964094,0.21258266177028418
33,IQ2_XXS,False,True,32,1024,1067,0.3070248831063509,3475.2883518903577,257,6.28033971786499,40.76212617476488,0.21625749953091145
34,IQ2_XXS,False,True,32,2048,2116,0.5730872172862291,3692.2826686311537,257,6.714416027069092,38.12691959627448,0.22528147883713245
35,IQ2_XXS,False,True,32,3072,3179,0.7424029838293791,4282.040979418539,257,6.745861530303955,37.949192827334116,0.23353500477969646
36,IQ2_XXS,False,True,32,5120,5349,1.1775282435119152,4542.566201254666,257,6.751561164855957,37.91715630639061,0.2880042605102062
37,IQ2_XXS,False,True,32,8192,8572,1.9792923955246806,4330.840667797186,257,6.818787336349487,37.54333246841694,0.24982214253395796
38,IQ2_XXS,False,True,32,11264,11750,2.9233689527511597,4012.4938690892877,255,7.248277425765991,35.042808805453184,0.3082666616439819
39,IQ2_XXS,False,True,32,15360,16049,4.352586321532726,3686.3140245199984,257,7.817903757095337,32.74535066611183,0.29716043919324875
40,IQ2_XXS,False,True,33,128,130,0.14281368255615234,980.2982283924648,257,3.238159418106079,79.05725659106932,0.21088147163391113
41,IQ2_XXS,False,True,33,1024,1087,0.2857316257432103,3804.2691185220674,257,3.311490297317505,77.30658314396226,0.2312401058152318
42,IQ2_XXS,False,True,33,2048,2123,0.4570866860449314,4644.633205945775,257,3.546457529067993,72.18470767004409,0.22759688273072243
43,IQ2_XXS,False,True,33,3072,3223,0.6385118467733264,5047.674551830476,257,3.6275761127471924,70.57053857544815,0.22125501465052366
44,IQ2_XXS,False,True,33,5120,5329,1.038893561810255,5129.4956441103595,257,3.70880389213562,69.02494913328754,0.25181732699275017
45,IQ2_XXS,False,True,33,8192,8590,1.756708161905408,4889.827568560326,257,3.9680447578430176,64.51540131799284,0.29013134725391865
46,IQ2_XXS,False,True,33,11264,11690,2.5188691429793835,4640.971537796031,255,4.331230401992798,58.64384399479988,0.34331248328089714
47,IQ2_XXS,False,True,33,15360,16020,3.8419495671987534,4189.7999227867695,257,4.96783709526062,51.53148041916013,0.35085688531398773
48,IQ2_XXS,True,True,28,128,145,0.2568242931738496,517.8637828858721,257,13.111706495285034,19.524537106749417,0.27493027690798044
49,IQ2_XXS,True,True,28,1024,1068,1.1138948444277048,958.7978661924011,256,16.311091661453247,15.63353362807849,0.35485091246664524
50,IQ2_XXS,True,True,28,2048,2140,1.3749036770313978,1556.4726720496872,257,19.544250965118408,13.098481003794715,0.24583124928176403
51,IQ2_XXS,True,True,28,3072,3237,1.8782645091414452,1723.3994382823284,257,23.56778907775879,10.862283227135222,0.23158391565084457
52,IQ2_XXS,True,True,28,5120,5323,3.355222755465014,1525.979159404693,257,31.514254331588745,8.12330818005092,0.24293809512565875
53,IQ2_XXS,True,True,28,8192,8540,4.925600933842361,1733.7985993392526,257,42.91670536994934,5.965043164269862,0.23692290764302015
54,IQ2_XXS,True,True,28,11264,11758,8.081482840747368,1393.8036152482032,257,55.47156882286072,4.614976742725515,0.23295135614348622
55,IQ2_XXS,True,True,28,15360,15360,10.046292174537227,1528.9222862670272,218,60.08057165145874,3.6118164996642688,0.27931343384508817
56,IQ2_XXS,True,True,32,128,137,0.22983938828110695,604.7701442278245,257,9.008789300918579,28.416693014886807,0.21055132523179054
57,IQ2_XXS,True,True,32,1024,1054,0.6956858215853572,1515.0517191770589,253,11.5383460521698,21.840218594640877,0.22229238133877516
58,IQ2_XXS,True,True,32,2048,2138,1.0683861942961812,1995.533086614334,257,14.906253099441528,17.174000621899488,0.24599516112357378
59,IQ2_XXS,True,True,32,3072,3222,1.255242459475994,2566.8347781551593,257,18.154939651489258,14.100845550263243,0.2235311195254326
60,IQ2_XXS,True,True,32,5120,5331,2.716674546711147,1960.1170138125442,257,23.632030725479126,10.832755042248268,0.22566984128206968
61,IQ2_XXS,True,True,32,8192,8192,4.1871067258070145,1956.4822528905304,239,30.037336111068726,7.923472278631834,0.23137008869153564
62,IQ2_XXS,True,True,32,11264,11710,7.284988656811331,1546.1932105368985,253,41.35856032371521,6.09305541652285,0.3955817373319604
63,IQ2_XXS,True,True,32,15360,15995,10.363156060097923,1482.1739546258325,257,52.93118906021118,4.836467960483384,0.3236412800533671
64,IQ2_XXS,True,True,33,128,136,0.1694364221766591,802.660952426171,257,6.078294992446899,42.117074001527484,0.20722195226699114
65,IQ2_XXS,True,True,33,1024,1066,0.6169967269524932,1727.723913974796,257,8.58137845993042,29.832037031737638,0.21418472286313772
66,IQ2_XXS,True,True,33,2048,2112,0.8642525216564536,2443.7302143499383,257,11.575329065322876,22.116001934400234,0.21524615492671728
67,IQ2_XXS,True,True,33,3072,3221,1.353082344867289,2380.490745606408,257,14.381095170974731,17.80114775380133,0.22359411511570215
68,IQ2_XXS,True,True,33,5120,5313,2.6937242383137345,1972.3622501633376,257,20.57926344871521,12.439706631773666,0.23151930514723063
69,IQ2_XXS,True,True,33,8192,8526,4.089721660129726,2084.7384513032007,257,29.10922598838806,8.794462625083908,0.25734208058565855
70,IQ2_XXS,True,True,33,11264,11740,6.671374703016807,1759.757249835053,204,30.1323721408844,6.736940558508643,0.26095261630110855
71,IQ2_XXS,True,True,33,15360,15360,10.558990058960852,1454.6845781869818,155,30.04562211036682,5.125538736868572,0.2869141674661017
72,IQ4_NL,False,False,28,128,135,0.19380419794470072,696.5793384853322,257,11.646196126937866,21.981426142040256,0.22073572222143412
73,IQ4_NL,False,False,28,1024,1097,0.5389392944052815,2035.479712442451,257,12.423224449157715,20.60656643914669,0.22460585553199053
74,IQ4_NL,False,False,28,2048,2131,0.8586811078712344,2481.7129205078063,257,12.66215968132019,20.217720076430812,0.2133218301460147
75,IQ4_NL,False,False,28,3072,3170,1.3307548370212317,2382.1066899863717,257,12.99697470664978,19.696891451902264,0.20347650907933712
76,IQ4_NL,False,False,28,5120,5326,2.5295647885650396,2105.5005288167813,257,14.626766681671143,17.50215926536892,0.238071134313941
77,IQ4_NL,False,False,28,8192,8578,4.205076836049557,2031.1162751603392,257,15.282348871231079,16.751351651310507,0.2549520954489708
78,IQ4_NL,False,False,28,11264,11759,6.625053475610912,1774.929069371123,257,16.43581795692444,15.575738346027784,0.28807837795466185
79,IQ4_NL,False,False,28,15360,15954,9.629316912963986,1662.6309160565352,257,17.03230619430542,15.030260557762343,0.2787948716431856
80,IQ4_NL,False,False,32,128,137,0.15314901154488325,894.5536025209639,257,7.428656339645386,34.46114455904692,0.22522628586739302
81,IQ4_NL,False,False,32,1024,1054,0.3332399530336261,3162.886053742915,257,7.295371770858765,35.09074082044558,0.21138278674334288
82,IQ4_NL,False,False,32,2048,2152,0.5765122966840863,3746.6676988914664,257,7.573467016220093,33.802220231728064,0.23111601639539003
83,IQ4_NL,False,False,32,3072,3180,0.8606106443330646,3695.0507420976187,257,7.615864992141724,33.61404124996287,0.22793571185320616
84,IQ4_NL,False,False,32,5120,5331,1.5184053732082248,3510.92013639031,257,7.764508485794067,32.97053515600855,0.25254529248923063
85,IQ4_NL,False,False,32,8192,8529,2.754801891744137,3096.048403901766,257,8.285712718963623,30.896557566386452,0.2569066509604454
86,IQ4_NL,False,False,32,11264,11740,4.567601907067001,2570.276534352929,257,8.451663255691528,30.289895876720383,0.27412461023777723
87,IQ4_NL,False,False,32,15360,15995,7.230988220311701,2212.6989441161472,257,9.166958808898926,27.926382711732618,0.28671880159527063
88,IQ4_NL,False,False,33,128,130,0.14241319801658392,940.9240285749063,257,3.7380974292755127,68.48403628944894,0.2354720225557685
89,IQ4_NL,False,False,33,1024,1077,0.30446870997548103,3511.034024107393,257,3.8240389823913574,66.94492424863064,0.21978696063160896
90,IQ4_NL,False,False,33,2048,2136,0.516751216724515,4133.517117848844,257,3.9196243286132812,65.31238163086152,0.22695319540798664
91,IQ4_NL,False,False,33,3072,3195,0.7586114229634404,4211.64235507956,257,4.103520154953003,62.38546183110728,0.2248396696522832
