,cache_4bit,flash_attn,promptlen,prompt_tokens,prompt_seconds,prompttps,completion_tokens,gen_seconds,gentps,overhead_seconds
0,False,False,128,134,0.17767492588609457,754.1863283843772,257,2.92195725440979,87.61250686116206,0.2312838202342391
1,False,False,1024,1067,0.24521416518837214,4351.2983810716505,257,3.2049710750579834,79.8759158833808,0.24076527450233698
2,False,False,2048,2117,0.39976249169558287,5295.64439880489,257,3.4981796741485596,73.1809180334081,0.24444399308413267
3,False,False,3072,3206,0.5405084751546383,5931.451859441742,257,3.8300061225891113,66.8406242199274,0.24208852276206017
4,False,False,5120,5376,0.9186828695237637,5851.856150084595,257,4.45293927192688,57.490117059068595,0.2585449777543545
5,False,False,8192,8482,1.694844444282353,5004.589081089108,257,5.511912107467651,46.44486251026499,0.2934584217146039
6,False,False,11264,11739,2.7245685225352645,4308.5721290931715,257,7.010221481323242,36.518104411114514,0.31851354893296957
7,False,False,15360,15973,4.4602197478799255,3581.2136851760365,257,8.817183256149292,29.034215640404224,0.3171345065621769
8,False,True,128,138,0.3786903405562043,364.41383690249785,257,2.806903600692749,91.20370216377175,0.22560367826372385
9,False,True,1024,1064,0.4325859695672989,2459.626698166571,257,2.860994338989258,89.4793801271346,0.3207447677850723
10,False,True,2048,2139,0.33976319059729576,6295.561317986471,257,2.9231903553009033,87.57554893261415,0.23400070890784264
11,False,True,3072,3172,0.40973286237567663,7741.62946464287,257,2.9917490482330322,85.56867433490021,0.24069909658282995
12,False,True,5120,5342,0.6037391554564238,8848.192057315671,257,3.1242337226867676,81.94009242683867,0.24416722171008587
13,False,True,8192,8531,0.9554456807672977,8928.817379915245,257,3.3240718841552734,77.01397831384617,0.25702420249581337
14,False,True,11264,11736,1.321251479908824,8882.487685697706,257,3.5347065925598145,72.42468173705085,0.29005941562354565
15,False,True,15360,15985,1.8902127612382174,8456.719967083887,257,3.7940008640289307,67.4749450974421,0.3071973193436861
16,True,False,128,140,0.1590807382017374,880.0562631439373,257,2.954035758972168,86.66110395666742,0.2367763463407755
17,True,False,1024,1091,0.25190106872469187,4331.065388183714,257,3.312551259994507,77.2818229537147,0.2365261698141694
18,True,False,2048,2158,0.4063690509647131,5310.443782263796,257,3.658024311065674,69.98313248645984,0.2574554290622473
19,True,False,3072,3226,0.5386383971199393,5989.175701638037,257,3.992084503173828,64.1268990665083,0.24457149114459753
20,True,False,5120,5304,0.9171106060966849,5783.380940903473,257,4.645602464675903,55.10587742850692,0.26019112672656775
21,True,False,8192,8489,1.712694094516337,4956.518520837946,257,5.882892370223999,43.51600945407955,0.2811841228976846
22,True,False,11264,11668,2.6901362258940935,4337.326819247611,257,7.5262980461120605,34.01406620247316,0.32219055481255054
23,True,False,15360,15966,4.4194904789328575,3612.633645463853,257,9.601709365844727,26.661919273524894,0.3214181885123253
24,True,True,128,138,0.15603731013834476,884.403863906955,257,2.8485403060913086,89.87059072064751,0.2280792985111475
25,True,True,1024,1070,0.22134052962064743,4834.180174023522,257,2.9501872062683105,86.77415435063668,0.2386554405093193
26,True,True,2048,2126,0.3223377224057913,6595.566861155569,257,3.0764527320861816,83.21272006880572,0.2393029686063528
27,True,True,3072,3216,0.41284164134413004,7789.911864339424,257,3.20176100730896,79.95599903165939,0.2533667916432023
28,True,True,5120,5327,0.6072758575901389,8771.960771072321,256,3.4095771312713623,74.78933315842474,0.2535013100132346
29,True,True,8192,8539,0.9652976077049971,8845.97654841551,257,3.787015914916992,67.59939903912743,0.25962415151298046
30,True,True,11264,11761,1.3478689866907456,8725.625499311558,256,4.038710117340088,63.13897075830342,0.2966290193445542
31,True,True,15360,15984,1.9250444062054157,8303.18508418574,257,4.56497049331665,56.07922337609784,0.3257495053112507
